"","id","uri","siglaTipo","codTipo","numero","ano","ementa"
"59",2205162,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205162","EMC","130","59","2019","Acrescenta a expressão ""preservando-lhe, em caráter permanente, o valor real"", aos artigos 40, §1, alínea C e 201, § 1º, inciso V, ambos da Constituição Federal."
"60",2205163,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205163","EMC","130","60","2019","Altera o art. 3º da PEC para determinar o aumento de 17% (dezessete por cento) do tempo que faltar para que os servidores públicos em atividade garantam o direito de se aposentar percebendo proventos de aposentadoria conforme as regras de seu momento de ingresso no Serviço Público."
"61",2205165,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205165","EMC","130","61","2019","Modifica os arts. 3º e 8º, o §3º, do art. 19, o § 2º do art. 24, o §1º, do art. 25, o art. 26 e o art. 30, todos da PEC 06/2019. Suprime o art. 3º, o inciso II, do §3° e o inciso I, do §5°, do art. 4°, o inciso II, do §4°, e o inciso I, do §6° do art. 6°, o § 1º, do art. 9°, o inciso II, do § 7º, do art. 12, o § 9º, do art. 12, o inciso III, do § 10, do art. 12, o inciso V, do § 10, do art. 12, todos da PEC 6/2019, para garantir condições sociais mínimas quanto às pensões, às acumulações e à aposentadoria por invalidez."
"62",2205208,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205208","EMC","130","62","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"63",2205213,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205213","EMC","130","63","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"64",2205251,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205251","EMC","130","64","2019","Restringe aos servidores da União as modificações feitas pela PEC 06/19, cabendo aos estados, DF e municípios estabelecerem os respectivos regimes próprios, considerando suas disponibilidades financeiras."
"65",2205262,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205262","EMC","130","65","2019","Altera o § 1º do art. 203 da Constituição Federal, para dispor sobre a condição de concessão do BPC ao deficiente e para permitir que outro benefício assistencial já concedido a membro da família não seja computado para fins de cálculo da renda familiar."
"66",2205280,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205280","EMC","130","66","2019","Estende aos peritos oficiais de natureza criminal e demais servidores da perícia oficial de natureza criminal as regras de aposentadoria das demais categorias policiais."
"67",2205343,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205343","EMC","130","67","2019","Proposta de Emenda que substitui o art. 1° da PEC 06/2019 para corrigir distorções nas regras previdenciárias relacionadas aos Regimes Próprios de Previdência Social, em especial no tocante às atividades especiais."
"68",2205344,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205344","EMC","130","68","2019","Proposta de Emenda que substitui o art. 1° da PEC 06/2019 para modificar o art. 149, corrigindo distorções nos Regimes Próprios de Previdência Social."
"69",2205345,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205345","EMC","130","69","2019","Projeto de Emenda que modifica os artigos 1°, 3°, 6°, 7°, 10, 18, 21, 22, 24, 37, 41 e 46, suprime partes dos artigos 1° e 3°, e suprime integralmente os arts. 2°, 8°, 12, 13, 14, 15, 19, 20, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 38, 40, 41, 42, 43, 44, 45 e 46 da PEC 06/2019, para alterar as regras geral e de transição relacionados aos Regimes de Previdência Social."
"70",2205352,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205352","EMC","130","70","2019","Proposto de Emenda Constitucional que altera os arts. 3°, 6°, 7°, 10 e 46 da PEC 06/2019 para substituir o texto da regra de transição relacionada aos Regimes Próprios de Previdência Social, das regras atinentes às atividades especiais e  quanto ao abono de permanência."
"71",2205353,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205353","EMC","130","71","2019","Emenda que suprime partes dos arts. 1° e 3°, e os arts. 2°, 8°, 12, 13, 14, 15, 28, 30, 31, 40, 41 e 42 da PEC 06/2019 para adequar as regras relacionadas aos Servidors Públicos ligados a Regimes Próprios de Previdência Social."
"72",2205398,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205398","EMC","130","72","2019","Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências."
"73",2205439,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205439","EMC","130","73","2019","Altera os art. 3º, 12, 18, 19 e 24 da Proposta de Emenda à Constituição nº 6, de 2019 no que tange a aposentadoria especial dos professores da educação infantil e do ensino fundamental e médio."
