"","uri","nome","codTipo","tipo","ordemAssinatura","proponente","id_emenda","id_deputado"
"407","https://dadosabertos.camara.leg.br/api/v2/deputados/204427","Fernando Rodolfo",10000,"Deputado",1,1,2205938,204427
"408","https://dadosabertos.camara.leg.br/api/v2/deputados/204427","Fernando Rodolfo",10000,"Deputado",1,1,2205939,204427
"409","https://dadosabertos.camara.leg.br/api/v2/deputados/204427","Fernando Rodolfo",10000,"Deputado",1,1,2205941,204427
"410","https://dadosabertos.camara.leg.br/api/v2/deputados/67138","Iracema Portella",10000,"Deputado",1,1,2205942,67138
"411","https://dadosabertos.camara.leg.br/api/v2/deputados/67138","Iracema Portella",10000,"Deputado",1,1,2205943,67138
"412","https://dadosabertos.camara.leg.br/api/v2/deputados/204563","Josimar Maranhãozinho",10000,"Deputado",1,1,2205944,204563
"413","https://dadosabertos.camara.leg.br/api/v2/deputados/204563","Josimar Maranhãozinho",10000,"Deputado",1,1,2205945,204563
"414","https://dadosabertos.camara.leg.br/api/v2/deputados/73433","Arlindo Chinaglia",10000,"Deputado",6,1,2205946,73433
"415","https://dadosabertos.camara.leg.br/api/v2/deputados/73482","Henrique Fontana",10000,"Deputado",19,1,2205946,73482
"416","https://dadosabertos.camara.leg.br/api/v2/deputados/73604","Rui Falcão",10000,"Deputado",47,1,2205946,73604
"417","https://dadosabertos.camara.leg.br/api/v2/deputados/73701","Benedita da Silva",10000,"Deputado",8,1,2205946,73701
"418","https://dadosabertos.camara.leg.br/api/v2/deputados/74156","Leonardo Monteiro",10000,"Deputado",25,1,2205946,74156
"419","https://dadosabertos.camara.leg.br/api/v2/deputados/74159","Odair Cunha",10000,"Deputado",35,1,2205946,74159
"420","https://dadosabertos.camara.leg.br/api/v2/deputados/74160","Patrus Ananias",10000,"Deputado",37,1,2205946,74160
"421","https://dadosabertos.camara.leg.br/api/v2/deputados/74161","Reginaldo Lopes",10000,"Deputado",43,1,2205946,74161
"422","https://dadosabertos.camara.leg.br/api/v2/deputados/74283","Vicentinho",10000,"Deputado",50,1,2205946,74283
"423","https://dadosabertos.camara.leg.br/api/v2/deputados/74371","Rubens Otoni",10000,"Deputado",46,1,2205946,74371
"424","https://dadosabertos.camara.leg.br/api/v2/deputados/74376","Vander Loubet",10000,"Deputado",49,1,2205946,74376
"425","https://dadosabertos.camara.leg.br/api/v2/deputados/74398","Maria do Rosário",10000,"Deputado",29,1,2205946,74398
"426","https://dadosabertos.camara.leg.br/api/v2/deputados/74400","Paulo Pimenta",10000,"Deputado",1,1,2205946,74400
"427","https://dadosabertos.camara.leg.br/api/v2/deputados/74571","Nelson Pellegrino",10000,"Deputado",33,1,2205946,74571
"428","https://dadosabertos.camara.leg.br/api/v2/deputados/107283","Gleisi Hoffmann",10000,"Deputado",17,1,2205946,107283
"429","https://dadosabertos.camara.leg.br/api/v2/deputados/132504","Enio Verri",10000,"Deputado",14,1,2205946,132504
"430","https://dadosabertos.camara.leg.br/api/v2/deputados/141335","Beto Faro",10000,"Deputado",9,1,2205946,141335
"431","https://dadosabertos.camara.leg.br/api/v2/deputados/141398","Carlos Zarattini",10000,"Deputado",12,1,2205946,141398
"432","https://dadosabertos.camara.leg.br/api/v2/deputados/141470","José Guimarães",10000,"Deputado",22,1,2205946,141470
